tau,start_id,ok,optimization_status,solution_status,objective,risk,return,mu_w,kkt_stationarity,kkt_feasibility,kkt_complementarity,gap_to_best,reached_best,solve_time_s,n_iterations,n_selected,selected_assets
0.0,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,0.012533374701731981,0.012533374701731981,-0.012807710001881002,0.012807710001881002,1.6943586870596131e-15,0.0,0.0,0.9703096302634572,False,0.025145182997221127,4,7,9|10|12|16|25|36|40
0.0,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,0.007325694805603595,0.007325694805603595,-0.10652012930736132,0.10652012930736132,5.446783378268486e-15,0.0,0.0,0.15163612101023435,False,0.011093600012827665,4,8,11|22|23|25|29|38|41|42
0.0,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,0.01782617955496921,0.01782617955496921,-0.06319492702455876,0.06319492702455876,4.081579843510303e-16,0.0,0.0,1.8023652115240507,False,0.009363424003822729,4,6,3|9|17|28|31|40
0.0,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,0.006908881899332888,0.006908881899332888,-0.056900569838331735,0.056900569838331735,6.195489062066966e-16,0.0,0.0,0.0861110327780713,False,0.00292563799303025,4,7,7|11|12|13|14|15|16
0.0,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,0.00636111934299676,0.00636111934299676,-0.07143244378685867,0.07143244378685867,8.75585242157643e-16,0.0,0.0,0.0,True,0.002887084992835298,4,8,7|8|14|16|27|28|32|34
0.01,cont,True,SUCCESS,FEASIBLE_KKT_POINT,0.005645218219831745,0.006362696028293128,-0.07174778084613835,0.07174778084613835,1.3790941849585078e-15,0.0,0.0,0.0,True,0.006385239015799016,2,8,7|8|14|16|27|28|32|34
0.01,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,0.010975491133486389,0.011873418792724088,-0.08979276592376986,0.08979276592376986,4.7123915687475734e-15,1.1102230246251565e-16,2.5367385887665767e-18,0.9442102510732173,False,0.0027826639998238534,3,6,0|13|23|32|38|43
0.01,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,0.03821274767191267,0.03891954967632414,-0.07068020044114673,0.07068020044114673,4.2070531478599953e-16,0.0,0.0,5.769047037349523,False,0.0027805270219687372,4,4,5|10|18|21
0.01,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,0.008869629060007546,0.009687534995334854,-0.08179059353273084,0.08179059353273084,2.436508512047479e-15,0.0,0.0,0.5711755886206872,False,0.0030544549808837473,4,8,2|16|21|36|39|40|42|43
0.01,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,0.007333186310117423,0.008080218668904413,-0.07470323587869894,0.07470323587869894,1.6778799103195166e-15,0.0,0.0,0.2990084748286274,False,0.002863261994207278,4,8,3|6|12|16|23|27|38|42
0.01,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,0.024452338736602616,0.025595934553431336,-0.11435958168287212,0.11435958168287212,7.224451639598268e-16,2.220446049250313e-16,1.1112949069865647e-17,3.3315134652137326,False,0.0027963719912804663,4,4,31|33|34|41
0.014196258964747485,cont,True,SUCCESS,FEASIBLE_KKT_POINT,0.005343868319217046,0.006364296896293463,-0.07188010444233034,0.07188010444233034,4.883335168973429e-16,0.0,0.0,0.2813472187158214,False,0.00247774799936451,2,8,7|8|14|16|27|28|32|34
0.014196258964747485,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,0.004170507603935314,0.005403540813772782,-0.08685620718101636,0.08685620718101636,5.572112005809727e-16,0.0,0.0,0.0,True,0.0028123790107201785,3,8,1|2|7|11|20|32|40|49
