tau,objective,risk,return,mu_w,n_selected,selected_assets,kkt_stationarity,hit_fraction,mean_solve_time_s,best_solve_time_s,n_starts,n_starts_feasible
0.0,0.00636111934299676,0.00636111934299676,-0.07143244378685867,0.07143244378685867,8,7|8|14|16|27|28|32|34,8.75585242157643e-16,0.2,0.010282985999947414,0.002887084992835298,5,5
0.01,0.005645218219831745,0.006362696028293128,-0.07174778084613835,0.07174778084613835,8,7|8|14|16|27|28|32|34,1.3790941849585078e-15,0.16666666666666666,0.003443753167327183,0.006385239015799016,6,6
0.014196258964747485,0.004170507603935314,0.005403540813772782,-0.08685620718101636,0.08685620718101636,8,1|2|7|11|20|32|40|49,5.572112005809727e-16,0.16666666666666666,0.002761011836507047,0.0028123790107201785,6,6
0.02015337685941733,0.003651582435017126,0.00541226213224233,-0.08736400403302479,0.08736400403302479,8,1|2|7|11|20|32|40|49,3.526217516236291e-16,0.16666666666666666,0.0028208376752445474,0.0026943999982904643,6,6
0.02861025569104378,0.002909707434656369,0.005429838534025182,-0.0880848855942843,0.0880848855942843,8,1|2|7|11|20|32|40|49,1.973243188194028e-16,0.16666666666666666,0.002680141173186712,0.0024464740126859397,6,6
0.0406158598837698,0.0018460520024385293,0.0054652609189213466,-0.0891082677269394,0.0891082677269394,8,1|2|7|11|20|32|40|49,2.682504610686674e-16,0.16666666666666666,0.0027296403374445313,0.002394404000369832,6,6
0.057659326498589465,0.0003149576736423869,0.005536648986128583,-0.09056108750444623,0.09056108750444623,8,1|2|7|11|20|32|40|49,1.7953130886354816e-16,0.16666666666666666,0.0027220680009728917,0.0025250100006815046,6,5
0.08185467307069029,-0.0019011501987248472,0.00568052004829786,-0.09262354808350554,0.09262354808350554,8,1|2|7|11|20|32|40|49,3.668286496409275e-16,0.16666666666666666,0.0028133211696210005,0.002658762998180464,6,6
0.11620301363862615,-0.005132900011616302,0.005970468821804075,-0.09555147053199653,0.09555147053199653,8,1|2|7|11|20|32|40|49,3.0722723047681133e-15,0.16666666666666666,0.00280359900110246,0.0025943540094885975,6,6
0.16496480740980207,-0.00989349579862954,0.006552223323121736,-0.09969228819148783,0.09969228819148783,7,1|2|7|11|20|40|49,2.5861928746696944e-16,0.16666666666666666,0.0027034409916571653,0.002538855973398313,6,5
0.2341883126059245,-0.018407534270794407,0.008441917934710129,-0.11464898442940188,0.11464898442940188,5,29|31|45|46|47,2.3406325010805717e-15,0.16666666666666666,0.002709788338203604,0.0027151750109624118,6,6
0.3324597932270942,-0.0378088542990699,0.009199013379995843,-0.14139414340234507,0.14139414340234507,5,5|7|19|44|47,1.3597272991806682e-15,0.16666666666666666,0.0027435225007745125,0.0028750739875249565,6,6
0.47196853200182304,-0.05764021704044678,0.009763212570014664,-0.14281339758939923,0.14281339758939923,4,5|7|19|47,2.6883177111928387e-16,0.16666666666666666,0.0027132288329691314,0.0024036219983827323,6,6
0.670018750350959,-0.08594425226191536,0.009877443726335552,-0.1430134543817752,0.1430134543817752,4,5|7|19|47,2.592584715281538e-16,0.16666666666666666,0.002728115660526479,0.002416449977317825,6,6
0.9511759691218709,-0.12619344248359043,0.010107658080577606,-0.14329746018499784,0.14329746018499784,4,5|7|19|47,5.723641179706052e-16,0.16666666666666666,0.002872799159376882,0.002559697983087972,6,6
1.3503140378698735,-0.18346937663934496,0.010571617744526498,-0.1437006421780018,0.1437006421780018,4,5|7|19|47,4.509747244882934e-16,0.16666666666666666,0.0026489976686813557,0.00242076299036853,6,6
1.9169407765334556,-0.2762789567546872,0.020188872125437903,-0.15465674918567365,0.15465674918567365,3,6|38|47,1.3888885600717775e-15,0.16666666666666666,0.0026445481683670855,0.002684719016542658,6,6
2.7213387683753085,-0.400744232651866,0.020533096451403308,-0.1548051767750988,0.1548051767750988,3,6|38|47,3.3306690738754696e-16,0.16666666666666666,0.002691292170008334,0.002388285007327795,6,6
3.8632829886662874,-0.5776434200165743,0.0212268247079393,-0.15501588842479808,0.15501588842479808,3,6|38|47,6.280369834735101e-16,0.16666666666666666,0.0026437308406457305,0.002374098025029525,6,5
5.484416576121021,-0.8291873495659571,0.022624921407138836,-0.15531502013940007,0.15531502013940007,3,6|38|47,1.1102230246251565e-15,0.16666666666666666,0.0026898668341649077,0.002429130021482706,6,6
7.78581979851677,-1.1871184887418085,0.025442558373626495,-0.15573967526790597,0.15573967526790597,3,6|38|47,2.220446049250313e-16,0.16666666666666666,0.002744032996512639,0.0025042629858944565,6,6
11.05295141126022,-1.69692530262993,0.03112104833749177,-0.15634252668540372,0.15634252668540372,3,6|38|47,2.220446049250313e-16,0.16666666666666666,0.0026921583291065567,0.0024415939988102764,6,6
15.691056055902134,-2.4240430012426355,0.04256512316091113,-0.15719835016941008,0.15719835016941008,3,6|38|47,0.0,0.16666666666666666,0.002682861163824176,0.0023970429901964962,6,6
22.275429519995587,-3.4630954862702024,0.0656287984332853,-0.15841329935011672,0.15841329935011672,3,6|38|47,4.440892098500626e-16,0.16666666666666666,0.0026856293358529606,0.0024104639887809753,6,6
31.622776601683793,-4.951900605079969,0.112109892386023,-0.1601380726699487,0.1601380726699487,3,6|38|47,1.7763568394002505e-15,0.16666666666666666,0.0026672068294525766,0.0023703989863861352,6,6
